tr_build_id,tr_job_id,git_commit,count(*)
66372594,66372623,d92785bf125067220a0b3cc3973404e525047e61,27
66372594,66372624,d92785bf125067220a0b3cc3973404e525047e61,27
66372594,66372625,d92785bf125067220a0b3cc3973404e525047e61,27
66372594,66372626,d92785bf125067220a0b3cc3973404e525047e61,27
66372594,66372627,d92785bf125067220a0b3cc3973404e525047e61,27
66372594,66372628,d92785bf125067220a0b3cc3973404e525047e61,27
66372594,66372629,d92785bf125067220a0b3cc3973404e525047e61,27
66372594,66372630,d92785bf125067220a0b3cc3973404e525047e61,27
66407634,66407635,2fb1d5bbcdb33c16d02e9bed3b9f3f61693fbaf9,8
66407634,66407636,2fb1d5bbcdb33c16d02e9bed3b9f3f61693fbaf9,8
66407634,66407637,2fb1d5bbcdb33c16d02e9bed3b9f3f61693fbaf9,8
66407634,66407638,2fb1d5bbcdb33c16d02e9bed3b9f3f61693fbaf9,8
66407634,66407639,2fb1d5bbcdb33c16d02e9bed3b9f3f61693fbaf9,8
66407634,66407640,2fb1d5bbcdb33c16d02e9bed3b9f3f61693fbaf9,8
66407634,66407641,2fb1d5bbcdb33c16d02e9bed3b9f3f61693fbaf9,8
66407634,66407642,2fb1d5bbcdb33c16d02e9bed3b9f3f61693fbaf9,8
66407634,66407643,2fb1d5bbcdb33c16d02e9bed3b9f3f61693fbaf9,8
